Year,500cc MotoGP Nation,500cc MotoGP Rider,500cc MotoGP Make,350cc Nation,350cc Rider,350cc Make,250cc Moto2 Nation,250cc Moto2 Rider,250cc Moto2 Make,125cc Moto3 Nation,125cc Moto3 Rider,125cc Moto3 Make,50cc 80cc Nation,50cc 80cc Rider,50cc 80cc Make,750cc Nation,750cc Rider,750cc Make,MotoE Nation,MotoE Rider,MotoE Make
1963,UK,Mike Hailwood,MV Agusta,Rhodesia,Jim Redman,Honda,Rhodesia,Jim Redman,Honda,NZ,Hugh Anderson,Suzuki,NZ,Hugh Anderson,Suzuki,,,,,,
1964,UK,Mike Hailwood,MV Agusta,Rhodesia,Jim Redman,Honda,UK,Phil Read,Yamaha,Switzerland,Luigi Taveri,Honda,NZ,Hugh Anderson,Suzuki,,,,,,
1965,UK,Mike Hailwood,MV Agusta,Rhodesia,Jim Redman,Honda,UK,Phil Read,Yamaha,NZ,Hugh Anderson,Suzuki,UK,Ralph Bryans,Honda,,,,,,
1966,Italy,Giacomo Agostini,MV Agusta,UK,Mike Hailwood,Honda,UK,Mike Hailwood,Honda,Switzerland,Luigi Taveri,Honda,Germany,Hans-Georg Anscheidt,Suzuki,,,,,,
1967,Italy,Giacomo Agostini,MV Agusta,UK,Mike Hailwood,Honda,UK,Mike Hailwood,Honda,UK,Bill Ivy,Yamaha,Germany,Hans-Georg Anscheidt,Suzuki,,,,,,
1968,Italy,Giacomo Agostini,MV Agusta,Italy,Giacomo Agostini,MV Agusta,UK,Phil Read,Yamaha,UK,Phil Read,Yamaha,Germany,Hans-Georg Anscheidt,Suzuki,,,,,,
1969,Italy,Giacomo Agostini,MV Agusta,Italy,Giacomo Agostini,MV Agusta,Australia,Kel Carruthers,Benelli,UK,Dave Simmonds,Kawasaki,Spain,Ángel Nieto,Derbi,,,,,,
1970,Italy,Giacomo Agostini,MV Agusta,Italy,Giacomo Agostini,MV Agusta,UK,Rodney Gould,Yamaha,Germany,Dieter Braun,Suzuki,Spain,Ángel Nieto,Derbi,,,,,,
1971,Italy,Giacomo Agostini,MV Agusta,Italy,Giacomo Agostini,MV Agusta,UK,Phil Read,Yamaha,Spain,Ángel Nieto,Derbi,Netherlands,Jan de Vries,Kreidler,,,,,,
1972,Italy,Giacomo Agostini,MV Agusta,Italy,Giacomo Agostini,MV Agusta,Finland,Jarno Saarinen,Yamaha,Spain,Ángel Nieto,Derbi,Spain,Ángel Nieto,Derbi,,,,,,
1973,UK,Phil Read,MV Agusta,Italy,Giacomo Agostini,MV Agusta,Germany,Dieter Braun,Yamaha,Sweden,Kent Andersson,Yamaha,Netherlands,Jan de Vries,Kreidler,,,,,,
